,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Frontend- developer,,,,Минск,2022-12-23T11:50:56+0300
1,Аналитик (сбор и анализ показателей деятельности компании) гибридный график,60000.0,90000.0,RUR,Тюмень,2022-12-23T05:48:23+0300
2,Тестировщик мобильных приложений (Android),,,,Санкт-Петербург,2022-12-23T11:23:56+0300
3,Верстальщик Лендингов / Клоакер (удаленно),20000.0,60000.0,RUR,Санкт-Петербург,2022-12-23T02:10:09+0300
4,Программист Unity,40000.0,,RUR,Кемерово,2022-12-23T09:30:43+0300
5,QA Engineer,60000.0,100000.0,RUR,Нижний Новгород,2022-12-23T10:34:41+0300
6,Главный механик,500000.0,700000.0,KZT,Алматы,2022-12-23T07:49:48+0300
7,FRONTEND DEVELOPER,100000.0,150000.0,RUR,Екатеринбург,2022-12-23T08:59:21+0300
8,Иллюстратор,,,,Москва,2022-12-23T11:35:39+0300
9,Руководитель транспортной службы,,,,Москва,2022-12-23T10:46:55+0300
10,"Ведущий аналитик (сбор и анализ показателей деятельности компании), удаленно",100000.0,130000.0,RUR,Тюмень,2022-12-23T05:59:19+0300
11,QA engineer / Инженер по качеству / Тестировщик ПО,45000.0,,RUR,Томск,2022-12-23T06:12:23+0300
12,FRONTEND DEVELOPER,100000.0,150000.0,RUR,Челябинск,2022-12-23T08:58:51+0300
13,HTML-верстальщик / Frontend-разработчик,,,,Новороссийск,2022-12-23T11:41:45+0300
14,Директор IT\Руководитель направления информационных технологий,,,,Санкт-Петербург,2022-12-23T11:25:14+0300
15,Помощник менеджера по продукту / Junior product manager (стажёр),,,,Москва,2022-12-23T11:30:47+0300
16,"Junior Back-end developer (c#, .net core)",,100000.0,RUR,Курск,2022-12-23T10:54:37+0300
17,Графический / веб дизайнер (удаленно),,,,Москва,2022-12-23T05:44:37+0300
18,Web-дизайнер,30000.0,50000.0,RUR,Самара,2022-12-23T09:58:45+0300
19,Начальник Отдела информационных технологий,,,,Санкт-Петербург,2022-12-23T11:44:46+0300
20,Руководитель по складским операциям,150000.0,,RUR,Москва,2022-12-23T11:44:28+0300
21,Frontend Developer (middle),,,,Йошкар-Ола,2022-12-23T09:58:51+0300
22,Team Lead C++,,,,Новосибирск,2022-12-23T07:09:46+0300
23,HTML-верстальщик,70000.0,,RUR,Москва,2022-12-23T11:52:57+0300
24,React Frontend Developer (Middle/Remote),,150000.0,RUR,Санкт-Петербург,2022-12-23T11:05:06+0300
25,Супервайзер по проектам,,,,Алматы,2022-12-23T06:20:03+0300
26,Бизнес-аналитик,500000.0,900000.0,KZT,Астана,2022-12-23T08:19:48+0300
27,UI/UX designer,,,,Тюмень,2022-12-23T00:31:07+0300
28,Райтер,,,,Москва,2022-12-23T10:38:09+0300
29,Специалист по развитию производственной системы (автопром/машиностроение),,200000.0,RUR,Калуга,2022-12-23T10:00:03+0300
30,Оператор-наладчик станков с ЧПУ,100000.0,150000.0,RUR,Москва,2022-12-23T11:11:48+0300
31,.NET разработчик (Junior/ Middle),,,,Брест,2022-12-23T10:15:25+0300
32,"QA инженер (Новая Афина, Цифровая ипотека)",,,,Москва,2022-12-23T09:28:12+0300
33,Специалист по развитию производственной системы (автопром/машиностроение),,200000.0,RUR,Тольятти,2022-12-23T10:00:03+0300
34,Ведущий специалист отдела защиты от внешних угроз,,,,Санкт-Петербург,2022-12-23T11:44:38+0300
35,Токарь-универсал,80000.0,170000.0,RUR,Санкт-Петербург,2022-12-23T09:21:37+0300
36,Руководитель территориально-обособленного подразделения,,,,Ханты-Мансийск,2022-12-23T10:30:34+0300
37,Начальник ИТ-отдела,,,,Москва,2022-12-23T09:05:42+0300
38,Дизайнер,,,,Санкт-Петербург,2022-12-23T11:40:40+0300
39,Графический дизайнер,60000.0,100000.0,RUR,Москва,2022-12-23T10:51:22+0300
40,Системный администратор,43800.0,,RUR,Ярославль,2022-12-23T09:38:20+0300
41,Помощник системного администратора,50000.0,,RUR,Санкт-Петербург,2022-12-23T09:26:33+0300
42,Руководитель территориально-обособленного подразделения,,,,Оренбург,2022-12-23T10:30:34+0300
43,Программист,35000.0,60000.0,RUR,Ярославль,2022-12-23T09:44:14+0300
44,Редактор (корректор) русских текстов со знанием английского языка,55000.0,,RUR,Москва,2022-12-23T11:51:12+0300
45,Механик,60000.0,,RUR,Красноярск,2022-12-23T06:56:34+0300
46,Инженер Департамента инфраструктуры открытых ключей,,,,Астана,2022-12-23T11:50:44+0300
47,Системный администратор,230000.0,230000.0,KZT,Астана,2022-12-23T07:49:34+0300
48,Специалист 1 разряда отдела информационной безопасности,15000.0,26000.0,RUR,Воронеж,2022-12-23T09:57:27+0300
49,Специалист по развитию производственной системы (автопром/машиностроение),,200000.0,RUR,Санкт-Петербург,2022-12-23T10:00:03+0300
50,Аналитик Excel (финансовый сектор),115000.0,,RUR,Москва,2022-12-23T10:18:25+0300
51,Специалист направления поддержки пользователей,,,,Новосибирск,2022-12-23T10:33:34+0300
52,Слесарь по ремонту горно-шахтного оборудования,300000.0,,KZT,Усть-Каменогорск,2022-12-23T07:02:01+0300
53,"Middle/Senior Frontend Developer (TypeScript, React)",,,,Москва,2022-12-23T10:10:20+0300
54,Механик по транспорту (главный механик),100000.0,,RUR,Екатеринбург,2022-12-23T11:49:56+0300
55,Инженер отдела информационных технологий,,43000.0,RUR,Тверь,2022-12-23T11:22:04+0300
56,Инженер по ремонту металлообрабатывающих станков,150000.0,,RUR,Москва,2022-12-23T07:29:23+0300
57,Специалист по техническому обслуживанию (АХО),60000.0,60000.0,RUR,Москва,2022-12-23T11:37:57+0300
58,Frontend developer (react / redux),,,,Москва,2022-12-23T10:24:36+0300
59,Наладчик станков с ПУ,75000.0,120000.0,RUR,Нижний Новгород,2022-12-23T08:53:29+0300
60,UI/UX designer,,,,Алматы,2022-12-23T00:31:07+0300
61,Корпоративный дизайнер,,,,Москва,2022-12-23T10:43:01+0300
62,WordPress разработчик,60000.0,100000.0,RUR,Санкт-Петербург,2022-12-23T09:41:57+0300
63,Сборщик ПК,50000.0,,RUR,Сергиев Посад,2022-12-23T11:33:43+0300
64,Начальник транспортного отдела,60000.0,,RUR,Тюмень,2022-12-23T10:51:43+0300
65,Аналитик данных (удаленно),,,,Екатеринбург,2022-12-23T10:39:13+0300
66,Тестировщик ПО в онлайн школу,,,,Москва,2022-12-23T11:38:46+0300
67,Специалист технической поддержки (1 линия),,,,Санкт-Петербург,2022-12-23T11:15:32+0300
68,Программист (Фулл стэк разработчик),40000.0,120000.0,RUR,Владивосток,2022-12-23T07:40:53+0300
69,Web-прогрaммист,,110000.0,RUR,Ижевск,2022-12-23T10:46:29+0300
70,Quality Assurance Engineer,,10000000.0,UZS,Ташкент,2022-12-23T07:12:42+0300
71,Оператор-наладчик станков с ЧПУ,100000.0,,RUR,Екатеринбург,2022-12-23T07:35:38+0300
72,Графический дизайнер,100000.0,,KZT,Караганда,2022-12-23T10:13:20+0300
73,Арт директор/PR менеджер клуба,40000.0,80000.0,RUR,Самара,2022-12-23T08:11:05+0300
74,Руководитель IT-подразделения,,,,Барнаул,2022-12-23T08:22:41+0300
75,Оператор станков с программным управлением,65000.0,110000.0,RUR,Нижний Новгород,2022-12-23T08:53:02+0300
76,Web-разработчик,50000.0,70000.0,RUR,Ставрополь,2022-12-23T10:58:45+0300
77,Помощник оператора станков с программным управлением,40000.0,,RUR,Барнаул,2022-12-23T06:34:56+0300
78,Копирайтер (удалённо),30000.0,40000.0,RUR,Москва,2022-12-23T11:26:09+0300
79,QA - Engineer,,,,Ташкент,2022-12-23T10:48:31+0300
80,Разработчик Java,,,,Москва,2022-12-23T10:36:18+0300
81,UI/UX designer,,,,Ташкент,2022-12-23T00:31:07+0300
82,Frontend Developer Vue 3,,,,Москва,2022-12-23T00:53:27+0300
83,Главный специалист отдела планирование закупок МТР (г. Березники),,,,Березники,2022-12-23T11:56:13+0300
84,Главный специалист (ПОД/ФТ),,,,Москва,2022-12-23T11:25:52+0300
85,Руководитель территориально-обособленного подразделения,,,,Тюмень,2022-12-23T10:30:34+0300
86,Тестировщик,50000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
87,Network Engineer,,,,Вьетнам,2022-12-23T05:41:36+0300
88,Специалист технической поддержки,30000.0,35000.0,RUR,Уфа,2022-12-23T06:36:45+0300
89,Web-дизайнер,,,,Москва,2022-12-23T10:08:17+0300
90,Руководитель отдела управления проектами,500000.0,1000000.0,KZT,Алматы,2022-12-23T10:38:07+0300
91,Системный инженер,180000.0,300000.0,RUR,Москва,2022-12-23T08:53:45+0300
92,Рабочий по комплексному обслуживанию зданий,45000.0,60000.0,RUR,Нижний Новгород,2022-12-23T10:27:26+0300
93,Аналитик данных (удаленно),,,,Ростов-на-Дону,2022-12-23T10:39:13+0300
94,Специалист по поддержке пользователей,,90000.0,RUR,Москва,2022-12-23T10:52:51+0300
95,Шлифовщик,90000.0,,RUR,Москва,2022-12-23T11:13:25+0300
96,Frontend-разработчик,,,,Екатеринбург,2022-12-23T08:35:05+0300
97,Механик,100000.0,,RUR,Тюмень,2022-12-23T07:10:45+0300
98,Fullstack developer (релокация на Кипр),,5000.0,USD,Москва,2022-12-23T11:50:58+0300
99,Фрезеровщик (без опыта),,,,Королев,2022-12-23T11:03:35+0300
100,Аналитик,,70000.0,RUR,Москва,2022-12-23T11:36:56+0300
101,Верстальщик-дизайнер,60000.0,80000.0,RUR,Екатеринбург,2022-12-23T08:09:14+0300
102,Главный специалист по обеспечению эксплуатации механизированного транспортного состава,75000.0,86000.0,RUR,Тюмень,2022-12-23T07:05:54+0300
103,Верстальщик-дизайнер,60000.0,80000.0,RUR,Челябинск,2022-12-23T08:07:41+0300
104,Программист,,,,Оренбург,2022-12-23T08:13:29+0300
105,Technical Support Engineer,,,,Сербия,2022-12-23T05:42:15+0300
106,Специалист поддержки пользователей ЮМани,30000.0,,RUR,Нижний Новгород,2022-12-23T10:39:25+0300
107,Python разработчик,,,,Нижний Новгород,2022-12-23T10:36:04+0300
108,Главный механик,70000.0,75000.0,RUR,Тюмень,2022-12-23T06:45:59+0300
109,Junior программист 1С/Стажер,30000.0,,RUR,Новосибирск,2022-12-23T07:10:36+0300
110,Копирайтер/CММ менеджер,,,,Владивосток,2022-12-23T09:14:04+0300
111,Художник-декоратор костюмов для спортивных выступлений,45000.0,,RUR,Санкт-Петербург,2022-12-23T11:18:37+0300
112,Токарь-универсал,60000.0,100000.0,RUR,Москва,2022-12-23T07:57:51+0300
113,Аналитик,,,,Москва,2022-12-23T09:58:06+0300
